lambda=0.5,T=100000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=False,,,,,,,,
1,0.5,1.147700271,1.647700271,4524.809374,5621.787396,10548.25565,1.540555556,1.768333333,1.206844489,1.206844489,1.945945946,1.945945946,0.5,0.227777778
2,0.5,1.147700271,1.647700271,4339.803862,6262.586827,4956.852538,1.27590535,1.35622085,1.630821349,1.630821349,1.405405405,1.405405405,0.5,0.080315501
3,0.5,1.147700271,1.647700271,4579.731295,4884.779332,5345.219824,1.381316872,1.428024691,1.355874055,1.355874055,1.513513514,1.513513514,0.5,0.046707819
4,0.5,1.147700271,1.647700271,3454.743535,4957.102136,5008.658337,1.310534979,1.534197531,1.318338023,1.318338023,1.432432432,1.432432432,0.5,0.223662551
5,0.5,1.147700271,1.647700271,3736.161049,5983.706029,7695.68452,1.072009602,1.35191358,1.602196796,1.602196796,1.756756757,1.756756757,0.5,0.279903978
6,0.5,1.147700271,1.647700271,3528.690828,5135.587556,4956.852538,1.314924554,1.527613169,1.481555591,1.481555591,1.405405405,1.405405405,0.5,0.212688615
7,0.5,1.147700271,1.647700271,3881.398678,5011.080616,6888.482502,1.41148834,1.58851166,1.446123737,1.446123737,1.108108108,1.108108108,0.5,0.17702332
8,0.5,1.147700271,1.647700271,3913.465152,7413.260697,9239.0016,1.258415638,1.397030178,1.738124875,1.738124875,1.864864865,1.864864865,0.5,0.13861454
9,0.5,1.147700271,1.647700271,3962.703206,4891.75538,5591.91287,1.333580247,1.49962963,1.348781387,1.348781387,1.216216216,1.216216216,0.5,0.166049383
10,0.5,1.147700271,1.647700271,3489.22831,8155.232478,5216.212581,1.354561043,1.645438957,1.794413641,1.794413641,1.27027027,1.27027027,0.5,0.290877915
11,0.5,1.147700271,1.647700271,3651.858667,5743.353692,7351.447387,1.152249657,1.391001372,1.576620739,1.576620739,1.72972973,1.72972973,0.5,0.238751715
12,0.5,1.147700271,1.647700271,5115.375077,5086.392413,7695.68452,1.466773377,1.466773377,1.466960016,1.466960016,1.756756757,1.756756757,0.5,0
13,0.5,1.147700271,1.647700271,5154.688354,5766.804261,4956.852538,1.271094841,1.271094841,1.192986138,1.192986138,1.405405405,1.405405405,0.5,0
14,0.5,1.147700271,1.647700271,3707.079086,5514.451516,5008.658337,1.508868313,1.78191358,1.548097866,1.548097866,1.432432432,1.432432432,0.5,0.273045267
15,0.5,1.147700271,1.647700271,3885.595002,5234.941573,4956.852538,1.443580247,1.704279835,1.503322974,1.503322974,1.405405405,1.405405405,0.5,0.260699588
16,0.5,1.147700271,1.647700271,5019.061301,5774.919108,6144.154686,1.472530864,1.527469136,1.58504144,1.58504144,1.162162162,1.162162162,0.5,0.054938272
17,0.5,1.147700271,1.647700271,3266.123042,4908.129463,4952.308113,1.368964335,1.631035665,1.409520865,1.409520865,1.351351351,1.351351351,0.5,0.262071331
18,0.5,1.147700271,1.647700271,4115.157097,7040.728576,6433.085584,1.488024691,1.674650206,1.709615622,1.709615622,1.648648649,1.648648649,0.5,0.186625514
19,0.5,1.147700271,1.647700271,4850.842351,4917.787805,5591.91287,1.562640604,1.758868313,1.41992943,1.41992943,1.216216216,1.216216216,0.5,0.196227709
20,0.5,1.147700271,1.647700271,4447.112456,7177.173097,7695.68452,1.374458162,1.438312757,1.715162496,1.715162496,1.756756757,1.756756757,0.5,0.063854595
21,0.5,1.147700271,1.647700271,4023.342058,4911.135164,4937.575382,1.35744856,1.46382716,1.415780787,1.415780787,1.378378378,1.378378378,0.5,0.106378601
22,0.5,1.147700271,1.647700271,5093.283077,5405.371514,10098.9148,1.463518941,1.463518941,1.231592246,1.231592246,1.918918919,1.918918919,0.5,0
23,0.5,1.147700271,1.647700271,3799.910782,5350.858109,9662.253707,1.345925926,1.481111111,1.520839677,1.520839677,1.891891892,1.891891892,0.5,0.135185185
24,0.5,1.147700271,1.647700271,4544.769561,6841.969283,5090.004457,1.084355281,1.240802469,1.103444774,1.103444774,1.297297297,1.297297297,0.5,0.156447188
25,0.5,1.147700271,1.647700271,3795.792922,4901.844513,6433.085584,1.231666667,1.459444444,1.404848524,1.404848524,1.648648649,1.648648649,0.5,0.227777778
26,0.5,1.147700271,1.647700271,4189.580079,4909.871254,5707.386629,1.272407407,1.364382716,1.384326896,1.384326896,1.567567568,1.567567568,0.5,0.091975309
27,0.5,1.147700271,1.647700271,4014.496426,5882.439692,11482.19613,1.317668038,1.523497942,1.180924214,1.180924214,2,2,0.5,0.205829904
28,0.5,1.147700271,1.647700271,3703.292876,5171.462407,10098.9148,1.22590535,1.472887517,1.273657712,1.273657712,1.918918919,1.918918919,0.5,0.246982167
29,0.5,1.147700271,1.647700271,3240.6112,4910.025449,9662.253707,1.137983539,1.448065844,1.410519257,1.410519257,1.891891892,1.891891892,0.5,0.310082305
30,0.5,1.147700271,1.647700271,4596.141242,5147.805266,5345.219824,1.43755144,1.56244856,1.484540835,1.484540835,1.513513514,1.513513514,0.5,0.124897119
31,0.5,1.147700271,1.647700271,3727.497147,6141.840949,7695.68452,1.337146776,1.494279835,1.624557991,1.624557991,1.756756757,1.756756757,0.5,0.157133059
32,0.5,1.147700271,1.647700271,4014.527115,5599.825217,5091.564556,1.333580247,1.49962963,1.206828605,1.206828605,1.459459459,1.459459459,0.5,0.166049383
33,0.5,1.147700271,1.647700271,3796.119215,5166.333452,4937.575382,1.158834019,1.364663923,1.265707027,1.265707027,1.378378378,1.378378378,0.5,0.205829904
34,0.5,1.147700271,1.647700271,3391.152032,4901.197779,9662.253707,1.068168724,1.386481481,1.411271214,1.411271214,1.891891892,1.891891892,0.5,0.318312757
35,0.5,1.147700271,1.647700271,3569.264669,6456.255277,5216.212581,1.222613169,1.480569273,1.651286175,1.651286175,1.27027027,1.27027027,0.5,0.257956104
36,0.5,1.147700271,1.647700271,4060.6409,5625.720305,4937.575382,1.267674897,1.37542524,1.567482567,1.567482567,1.378378378,1.378378378,0.5,0.107750343
37,0.5,1.147700271,1.647700271,4044.944403,6598.047526,5204.19421,1.521351166,1.776563786,1.671864249,1.671864249,1.486486486,1.486486486,0.5,0.25521262
38,0.5,1.147700271,1.647700271,4560.18565,4937.191514,5091.564556,1.281049383,1.344218107,1.413433235,1.413433235,1.459459459,1.459459459,0.5,0.063168724
39,0.5,1.147700271,1.647700271,5063.44042,8998.389063,11009.57451,1.293700663,1.293700663,1.848649393,1.848649393,1.972972973,1.972972973,0.5,0
40,0.5,1.147700271,1.647700271,5464.462712,4887.38649,5008.658337,1.510665295,1.489334705,1.352713836,1.352713836,1.432432432,1.432432432,0.5,0.02133059
