lambda=0.5,T=600000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=True,,,,,,,,,
1,0.5,1.147700271,1.647700271,19580.76559,58256.12291,99729.11295,1.285714286,1.714285714,1.460099698,1.460099698,1.235294118,1.235294118,0.5,0.428571429,0
2,0.5,1.147700271,1.647700271,24301.708,47698.60249,89171.59253,1.214285714,1.714285714,1.337461321,1.337461321,1.235294118,1.235294118,0.5,0.5,0
3,0.5,1.147700271,1.647700271,22677.909,55998.46713,120992.8157,1.142857143,1.5,1.43443098,1.43443098,1.529411765,1.529411765,0.5,0.357142857,0
4,0.5,1.147700271,1.647700271,24939.31783,57742.3183,139427.643,1.285714286,1.857142857,1.454863278,1.454863278,1.68627451,1.68627451,0.5,0.571428571,0
5,0.5,1.147700271,1.647700271,18708.1256,43294.92475,150687.8483,1.285714286,1.642857143,1.270595581,1.270595581,1.901960784,1.901960784,0.5,0.357142857,0
6,0.5,1.147700271,1.647700271,21219.52822,50651.64592,127969.6985,1.357142857,1.714285714,1.362437682,1.362437682,1.647058824,1.647058824,0.5,0.357142857,0
7,0.5,1.147700271,1.647700271,30316.12704,55083.11115,177331.2806,1.285714286,1.928571429,1.423944287,1.423944287,2.019607843,2.019607843,0.5,0.642857143,0
8,0.5,1.147700271,1.647700271,21328.3042,39352.25343,156603.3847,1.357142857,1.714285714,1.197729303,1.197729303,1.980392157,1.980392157,0.5,0.357142857,0
9,0.5,1.147700271,1.647700271,17958.91497,59461.93424,132534.0992,1.285714286,1.714285714,1.47084499,1.47084499,1.607843137,1.607843137,0.5,0.428571429,0
10,0.5,1.147700271,1.647700271,28691.25835,59909.61755,130908.1596,1.142857143,1.571428571,1.478878825,1.478878825,1.588235294,1.588235294,0.5,0.428571429,0
11,0.5,1.147700271,1.647700271,29981.83231,50498.36049,143558.9113,1.5,1.857142857,1.372964345,1.372964345,1.784313725,1.784313725,0.5,0.357142857,0
12,0.5,1.147700271,1.647700271,35704.30548,69335.3081,162395.8589,1.214285714,1.857142857,1.577479884,1.577479884,1.784313725,1.784313725,0.5,0.642857143,0
13,0.5,1.147700271,1.647700271,22689.3352,67348.99424,140421.1592,1.357142857,1.642857143,1.55666126,1.55666126,1.607843137,1.607843137,0.5,0.285714286,0
14,0.5,1.147700271,1.647700271,21694.66103,58995.00323,127954.9248,1.214285714,1.428571429,1.463721843,1.463721843,1.568627451,1.568627451,0.5,0.214285714,0
15,0.5,1.147700271,1.647700271,22368.22666,58352.0598,106233.7029,1.357142857,1.642857143,1.461366579,1.461366579,1.333333333,1.333333333,0.5,0.285714286,0
16,0.5,1.147700271,1.647700271,42838.63149,59779.96109,150518.5337,1.071428571,1.571428571,1.478108919,1.478108919,1.764705882,1.764705882,0.5,0.5,0
17,0.5,1.147700271,1.647700271,29579.21951,41541.73928,102731.02,1.214285714,1.785714286,1.238268676,1.238268676,1.490196078,1.490196078,0.5,0.571428571,0
18,0.5,1.147700271,1.647700271,18655.67443,46264.134,105615.6258,1.285714286,1.785714286,1.313752628,1.313752628,1.470588235,1.470588235,0.5,0.5,0
19,0.5,1.147700271,1.647700271,22789.23381,47860.10418,105419.5108,1.357142857,1.714285714,1.337887508,1.337887508,1.450980392,1.450980392,0.5,0.357142857,0
20,0.5,1.147700271,1.647700271,44050.69554,42474.13728,128636.5843,1.142857143,1.785714286,1.254443344,1.254443344,1.725490196,1.725490196,0.5,0.642857143,0
21,0.5,1.147700271,1.647700271,31820.03042,41774.97565,79433.85565,1.142857143,1.642857143,1.242062159,1.242062159,1.156862745,1.156862745,0.5,0.5,0
22,0.5,1.147700271,1.647700271,18653.66869,40206.58201,135610.0872,1.285714286,1.785714286,1.21282898,1.21282898,1.803921569,1.803921569,0.5,0.5,0
23,0.5,1.147700271,1.647700271,22253.47582,65173.66765,155912.2403,1.285714286,1.571428571,1.528419287,1.528419287,1.764705882,1.764705882,0.5,0.285714286,0
24,0.5,1.147700271,1.647700271,16681.48557,66408.21587,109026.1617,1.214285714,1.571428571,1.5436613,1.5436613,1.254901961,1.254901961,0.5,0.357142857,0
25,0.5,1.147700271,1.647700271,21255.24901,41519.25897,125430.1071,1.214285714,1.571428571,1.240108528,1.240108528,1.705882353,1.705882353,0.5,0.357142857,0
26,0.5,1.147700271,1.647700271,33126.08258,69621.59513,162682.146,1.142857143,1.642857143,1.574786019,1.574786019,1.784313725,1.784313725,0.5,0.5,0
27,0.5,1.147700271,1.647700271,19384.66318,61279.88748,152018.4601,1.285714286,1.785714286,1.488089531,1.488089531,1.764705882,1.764705882,0.5,0.5,0
28,0.5,1.147700271,1.647700271,20672.24408,49618.34697,120616.889,1.357142857,1.857142857,1.358996476,1.358996476,1.588235294,1.588235294,0.5,0.5,0
29,0.5,1.147700271,1.647700271,32052.23771,41120.84879,155889.1068,1.214285714,1.785714286,1.229483509,1.229483509,1.960784314,1.960784314,0.5,0.571428571,0
30,0.5,1.147700271,1.647700271,24858.32742,57875.04901,158022.7135,1.285714286,1.857142857,1.455463933,1.455463933,1.843137255,1.843137255,0.5,0.571428571,0
31,0.5,1.147700271,1.647700271,21112.08309,65198.97562,105600.7344,1.357142857,1.857142857,1.534908216,1.534908216,1.215686275,1.215686275,0.5,0.5,0
32,0.5,1.147700271,1.647700271,21623.57655,44697.56493,130860.0119,1.357142857,1.928571429,1.29010548,1.29010548,1.725490196,1.725490196,0.5,0.571428571,0
33,0.5,1.147700271,1.647700271,25148.50177,41018.12651,129456.913,1.214285714,1.428571429,1.231068115,1.231068115,1.745098039,1.745098039,0.5,0.214285714,0
34,0.5,1.147700271,1.647700271,18953.8012,39045.52824,112117.6932,1.285714286,1.642857143,1.190361731,1.190361731,1.607843137,1.607843137,0.5,0.357142857,0
35,0.5,1.147700271,1.647700271,24717.48784,57950.24618,131022.4111,1.285714286,1.857142857,1.459391957,1.459391957,1.607843137,1.607843137,0.5,0.571428571,0
36,0.5,1.147700271,1.647700271,21700.45872,44285.6872,109280.0358,1.214285714,1.642857143,1.283763322,1.283763322,1.529411765,1.529411765,0.5,0.428571429,0
37,0.5,1.147700271,1.647700271,23684.39822,55858.43096,96260.18979,1.357142857,1.642857143,1.43571618,1.43571618,1.215686275,1.215686275,0.5,0.285714286,0
38,0.5,1.147700271,1.647700271,20894.04856,59618.39181,141303.7165,1.285714286,1.571428571,1.475586454,1.475586454,1.68627451,1.68627451,0.5,0.285714286,0
39,0.5,1.147700271,1.647700271,22446.66585,51242.5305,130729.7835,1.142857143,1.428571429,1.380284215,1.380284215,1.666666667,1.666666667,0.5,0.285714286,0
40,0.5,1.147700271,1.647700271,24054.11039,56667.01319,154433.2704,1.285714286,1.5,1.44271084,1.44271084,1.823529412,1.823529412,0.5,0.214285714,0
41,0.5,1.147700271,1.647700271,16752.93923,70958.395,116076.5994,1.214285714,1.571428571,1.595438212,1.595438212,1.294117647,1.294117647,0.5,0.357142857,0
